gender,Count,CIK,Ticker,Employee_Tot,Sector,Industry,RevPerEmp,Name,Revenue
F,33.33333333,64803,cvs,290000,Drug Retail,Healthcare,884750,CVS HEALTH Corp,2.57E+11
F,33.33333333,1166691,cmcsa,190000,Broadcasting,Media/Entertainment,573380,COMCAST CORP,1.09E+11
F,33.33333333,1086222,akam,7724,Internet/Onl,Technology,374630,AKAMAI TECHNOLOGIES INC,2893642120
F,33.33333333,721371,cah,48000,Drug Retail,Healthcare,3186000,CARDINAL HEALTH INC,1.53E+11
F,30.76923077,1341439,orcl,135000,Software,Technology,289200,Oracle Corp,39042000000
F,30.76923077,732717,t,246000,Wireless Tel,Telecommunications,736850,AT T INC,1.81E+11
F,30,37996,f,190000,Automobiles,Automotive,820530,FORD MOTOR CO,1.56E+11
F,28.57142857,320193,aapl,147000,Computers/Co,Electronics,1865000,Apple Inc,2.74E+11
F,28.57142857,1652044,goog,118899,Internet/Onl,Technology,818.06,Alphabet Inc,97266515.94
F,28.57142857,1707753,estc,1343,Software,Technology,277220,Elastic N V,372306460
F,28.57142857,77476,pep,267000,Food & Beverage,Consumer Goods,242170,PEPSICO INC,64659390000
F,28.57142857,1124610,vmw,31000,Software,Technology,413550,VMWARE INC,12820050000
F,25,1423774,zuo,1249,Internet/Onl,Technology,252090,ZUORA INC,314860410
F,25,1366561,smar,1588,Internet/Online,Technology,225820,SMARTSHEET INC,358602160
F,25,731766,unh,325000,Life Insuran,Financial,745090,UNITEDHEALTH GROUP INC,2.42E+11
F,25,813828,viac,23990,Broadcasting,Media/Entertainment,1159000,ViacomCBS Inc,27804410000
F,25,796343,adbe,22634,Software,Technology,491800,ADOBE INC,11131401200
F,25,6281,adi,16400,Semiconductors,Electronics,365310,ANALOG DEVICES INC,5991084000
F,25,1385867,coup,1693,Software,Technology,312560,Coupa Software Inc,529164080
F,25,1571996,dell,165000,Software,Technology,624970,Dell Technologies Inc,1.03E+11
F,23.07692308,1645590,hpe,61600,Computers/Co,Electronics,510480,Hewlett Packard Enterprise Co,31445568000
F,22.22222222,896878,intu,10600,Software,Technology,722580,INTUIT INC,7659348000
F,20,914025,plt,6584,Networking,Technology,257100,PLANTRONICS INC,1692746400
F,20,19617,jpm,256981,Banking,Financial,582910,JPMORGAN CHASE CO,1.50E+11
F,20,1535379,cldr,2723,Software,Technology,291230,Cloudera Inc,793019290
F,20,1108524,crm,49000,Software,Technology,379490,SALESFORCE COM INC,18595010000
F,20,1637459,khc,37000,Food & Beverage,Consumer Goods,675050,Kraft Heinz Co,24976850000
F,18.18181818,804328,qcom,41000,Semiconductors,Technology,573930,QUALCOMM INC DE,23531130000
F,16.66666667,798354,fisv,44000,Consumer Fin,Financial,231520,FISERV INC,10186880000
F,16.66666667,1561550,ddog,1403,Internet/Onl,Technology,258574.4833,Datadog Inc,362780000.1
F,16.66666667,1517413,fsly,630,Internet/Onl,Technology,318190,Fastly Inc,200459700
F,14.28571429,1615165,veri,277,Emerging Tec,Technology,83220,Veritone Inc,23051940
F,14.28571429,1585521,zm,2532,Software,Technology,245916.2717,Zoom Video Communications Inc,622659999.9
F,14.28571429,1448056,newr,2131,Software,Technology,281330,NEW RELIC INC,599514230
F,12.5,50863,intc,110800,Semiconducto,Electronics,649500,INTEL CORP,71964600000
F,12.5,858877,csco,77500,Networking,Technology,684930,CISCO SYSTEMS INC,53082075000
F,12.5,1666134,bl,1055,Software,Technology,273910,BLACKLINE INC,288975050
F,11.76470588,51143,ibm,383800,Computer/Co,Engineering,201010,INTERNATIONAL BUSINESS MACHINES CORP,77147638000
F,11.11111111,2488,amd,11400,Semiconducto,Electronics,590440,ADVANCED MICRO DEVICES INC,6731016000
F,7.692307692,1627857,sail,1000,Software,Technology,247020,Sailpoint Technologies Holdings Inc,247020000
F,7.142857143,78003,pfe,88300,Pharmaceutic,Healthcare,586070,PFIZER INC,51749981000
F,6.666666667,1091667,chtr,95100,Broadcasting,Media/Entertainment,481220,CHARTER COMMUNICATIONS INC,45764022000
